id,type_bien,titre,ville,region,surface_m2,nb_pieces,loyer_mensuel_eur,adresse,prix_m2,lat,lon
maison_paris_p1_1,maison,5 chambres maison de 125m²,paris,Ile-de-France,125.0,5,750.0,"Rue Marie de France, 75001 Paris, France",6.0,48.858705,2.342865
maison_paris_p1_2,maison,3 chambres maison de 73m²,paris,Ile-de-France,73.0,3,800.0,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",11.0,48.853359,2.350169
maison_paris_p1_3,maison,4 chambres maison de 100m²,paris,Ile-de-France,100.0,4,6980.0,"46 Rue de Bretagne, 75003 Paris, France",69.8,48.863536,2.361534
maison_paris_p1_4,maison,2 chambres maison de 50m²,paris,Ile-de-France,50.0,2,1860.0,"Mairie du 16e arrondissement, Avenue Henri Martin, 75116 Paris, France",37.2,48.863597,2.276352
maison_paris_p1_5,maison,2 chambres maison de 43m²,paris,Ile-de-France,43.0,2,2200.0,"75007 Paris, France",51.2,48.856082,2.312439
maison_paris_p1_6,maison,6 chambres maison de 130m²,paris,Ile-de-France,130.0,6,3900.0,"151 Rue de Tolbiac, 75013 Paris, France",30.0,48.826066,2.356841
maison_paris_p1_7,maison,3 chambres maison de 62m²,paris,Ile-de-France,62.0,3,2380.0,"Mairie du 7e Arrondissement, Rue de Grenelle, 75007 Paris, France",38.4,48.856963,2.320102
maison_paris_p1_8,maison,2 chambres maison de 35m²,paris,Ile-de-France,35.0,2,1850.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",52.9,48.863597,2.276352
maison_paris_p1_9,maison,7 chambres maison de 325m²,paris,Ile-de-France,325.0,7,6500.0,"Rue Louis Puteaux, 75017 Paris, France",20.0,48.858705,2.342865
maison_paris_p1_10,maison,4 chambres maison de 120m²,paris,Ile-de-France,120.0,4,5250.0,"2v Voie Bb/16, 75116 Paris, France",43.8,48.849664,2.362823
maison_paris_p1_11,maison,4 chambres maison de 96m²,paris,Ile-de-France,96.0,4,3350.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",34.9,48.863597,2.276352
maison_paris_p1_12,maison,3 chambres maison de 65m²,paris,Ile-de-France,65.0,3,2455.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",37.8,48.863597,2.276352
maison_paris_p1_13,maison,1 chambre maison de 32m²,paris,Ile-de-France,32.0,1,1510.0,"Paris, France",47.2,48.858705,2.342865
maison_paris_p1_14,maison,3 chambres maison de 55m²,paris,Ile-de-France,55.0,3,2500.0,"9 Rue de la Reine Blanche, 75013 Paris, France",45.5,,
maison_paris_p1_15,maison,4 chambres maison de 105m²,paris,Ile-de-France,105.0,4,6400.0,"Porte Dauphine, Avenue Hubert Germain, 75116 Paris, France",61.0,,
maison_paris_p1_16,maison,2 chambres maison de 50m²,paris,Ile-de-France,50.0,2,1980.0,"Paris Beaugrenelle / Lourmel, Avenue Émile Zola, 75015 Paris, France",39.6,48.8467,2.284505
maison_paris_p1_17,maison,4 chambres maison de 115m²,paris,Ile-de-France,115.0,4,11000.0,"46 Rue de Bretagne, 75003 Paris, France",95.7,48.863536,2.361534
maison_paris_p1_18,maison,5 chambres maison de 162m²,paris,Ile-de-France,162.0,5,4350.0,"La Crèmerie du 17ème, Rue Legendre, 75017 Paris, France",26.9,48.887864,2.320732
maison_paris_p1_19,maison,3 chambres maison de 81m²,paris,Ile-de-France,81.0,3,3600.0,"Mairie du 15e Arrondissement, 31 Rue Péclet, 75015 Paris, France",44.4,48.841516,2.299884
maison_paris_p1_20,maison,2 chambres maison de 30m²,paris,Ile-de-France,30.0,2,2200.0,"Madeleine, Boulevard de la Madeleine, 75008 Paris, France",73.3,48.858705,2.342865
maison_paris_p1_21,maison,2 chambres maison de 34m²,paris,Ile-de-France,34.0,2,1850.0,"Église Saint-Gervais, Rue des Barres, 75004 Paris, France",54.4,48.855677,2.354308
maison_paris_p2_1,maison,2 chambres maison de 42m²,paris,Ile-de-France,42.0,2,2800.0,"256 Rue de Charenton, 75012 Paris, France",66.7,48.837617,2.390698
maison_paris_p2_2,maison,2 chambres maison de 63m²,paris,Ile-de-France,63.0,2,3300.0,"75008 Paris, France",52.4,48.872527,2.312582
maison_paris_p2_3,maison,1 chambre maison de 53m²,paris,Ile-de-France,53.0,1,4370.0,"3 Place Jussieu, 75005 Paris, France",82.5,48.845804,2.355058
maison_paris_p2_4,maison,4 chambres maison de 71m²,paris,Ile-de-France,71.0,4,5795.0,"Invalides, Sortie Parking Invalides, 75007 Paris, France",81.6,48.859568,2.314611
maison_paris_p2_5,maison,5 chambres maison de 190m²,paris,Ile-de-France,190.0,5,7375.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",38.8,48.863597,2.276352
maison_paris_p2_6,maison,5 chambres maison de 98m²,paris,Ile-de-France,98.0,5,4500.0,"Invalides, Sortie Parking Invalides, 75007 Paris, France",45.9,48.859568,2.314611
maison_paris_p2_7,maison,1 chambre maison de 24m²,paris,Ile-de-France,24.0,1,1600.0,"Ternes, Boulevard de Courcelles, 75017 Paris, France",66.7,48.858705,2.342865
maison_paris_p2_9,maison,1 chambre maison de 40m²,paris,Ile-de-France,40.0,1,2200.0,"5 Rue des Cinq Diamants, 75013 Paris, France",55.0,48.829839,2.352194
maison_paris_p2_10,maison,2 chambres maison de 40m²,paris,Ile-de-France,40.0,2,2998.0,"48 Rue Berzélius, 75017 Paris, France",75.0,48.893989,2.319577
maison_paris_p2_11,maison,2 chambres maison de 40m²,paris,Ile-de-France,40.0,2,2200.0,"5 Rue des Cinq Diamants, 75013 Paris, France",55.0,48.829839,2.352194
maison_paris_p2_12,maison,2 chambres maison de 40m²,paris,Ile-de-France,40.0,2,2250.0,"46 Rue de Bretagne, 75003 Paris, France",56.2,48.863536,2.361534
maison_paris_p2_13,maison,1 chambre maison de 46m²,paris,Ile-de-France,46.0,1,3964.0,"149 Rue de Longchamp, 75116 Paris, France",86.2,48.86845,2.274395
maison_paris_p2_14,maison,4 chambres maison de 100m²,paris,Ile-de-France,100.0,4,4800.0,"8 Rue du Roule, 75001 Paris, France",48.0,48.86047,2.343703
maison_paris_p2_15,maison,1 chambre maison de 40m²,paris,Ile-de-France,40.0,1,2998.0,"48 Rue Berzélius, 75017 Paris, France",75.0,48.893989,2.319577
maison_paris_p2_16,maison,1 chambre maison de 42m²,paris,Ile-de-France,42.0,1,2800.0,"256 Rue de Charenton, 75012 Paris, France",66.7,48.837617,2.390698
maison_paris_p2_17,maison,1 chambre maison de 22m²,paris,Ile-de-France,22.0,1,1780.0,"75016 Paris, France",80.9,48.860399,2.262099
maison_paris_p2_18,maison,3 chambres maison de 68m²,paris,Ile-de-France,68.0,3,3200.0,"Canopy by Hilton Paris Eiffel Tower, 16 Avenue d'Eylau, 75116 Paris, France",47.1,48.864745,2.285298
maison_paris_p2_19,maison,3 chambres maison de 85m²,paris,Ile-de-France,85.0,3,3800.0,"5 Rue de Thorigny, 75003 Paris, France",44.7,48.859604,2.362517
maison_paris_p2_20,maison,3 chambres maison de 135m²,paris,Ile-de-France,135.0,3,10000.0,"37 Rue de l'Abbé Grégoire, 75006 Paris, France",74.1,48.84835,2.324769
maison_paris_p2_21,maison,3 chambres maison de 55m²,paris,Ile-de-France,55.0,3,2600.0,"22 Rue de l'Annonciation, 75016 Paris, France",47.3,48.856689,2.279255
maison_paris_p3_1,maison,2 chambres maison de 57m²,paris,Ile-de-France,57.0,2,3100.0,"75017 Paris, France",54.4,48.887337,2.307485
maison_paris_p3_2,maison,2 chambres maison de 19m²,paris,Ile-de-France,19.0,2,1430.0,"75015 Paris, France",75.3,48.840155,2.293559
maison_paris_p3_3,maison,1 chambre maison de 140m²,paris,Ile-de-France,140.0,1,12000.0,"46 Rue de Bretagne, 75003 Paris, France",85.7,48.863536,2.361534
maison_paris_p3_4,maison,4 chambres maison de 112m²,paris,Ile-de-France,112.0,4,3500.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",31.2,48.863597,2.276352
maison_paris_p3_5,maison,2 chambres maison de 39m²,paris,Ile-de-France,39.0,2,1700.0,"Bio C' Bon, 9 Place Pigalle, 75009 Paris, France",43.6,48.869882,2.355901
maison_paris_p3_6,maison,2 chambres maison de 64m²,paris,Ile-de-France,64.0,2,2990.0,"8 Rue de Lisbonne, 75008 Paris, France",46.7,48.877899,2.317286
maison_paris_p3_7,maison,7 chambres maison de 270m²,paris,Ile-de-France,270.0,7,11000.0,"Paris, France",40.7,48.858705,2.342865
maison_paris_p3_8,maison,1 chambre maison de 12m²,paris,Ile-de-France,12.0,1,1400.0,"Paris, France",116.7,48.858705,2.342865
maison_paris_p3_9,maison,1 chambre maison de 55m²,paris,Ile-de-France,55.0,1,2567.0,"75017 Paris, France",46.7,48.887337,2.307485
maison_paris_p3_10,maison,4 chambres maison de 109m²,paris,Ile-de-France,109.0,4,5500.0,"17-21 Rue de Monceau, 75008 Paris, France",50.5,48.876403,2.307912
maison_paris_p3_11,maison,2 chambres maison de 40m²,paris,Ile-de-France,40.0,2,2100.0,"Paris, France",52.5,48.858705,2.342865
maison_paris_p3_12,maison,6 chambres maison de 123m²,paris,Ile-de-France,123.0,6,3965.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",32.2,48.863597,2.276352
maison_paris_p3_14,maison,2 chambres maison de 40m²,paris,Ile-de-France,40.0,2,2000.0,"75015 Paris, France",50.0,48.840155,2.293559
maison_paris_p3_15,maison,5 chambres maison de 114m²,paris,Ile-de-France,114.0,5,3740.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",32.8,48.863597,2.276352
maison_paris_p3_16,maison,2 chambres maison de 71m²,paris,Ile-de-France,71.0,2,3000.0,"75003 Paris, France",42.3,48.863054,2.359361
maison_paris_p3_17,maison,3 chambres maison de 65m²,paris,Ile-de-France,65.0,3,3200.0,"Victor Hugo, Avenue Victor Hugo, 75116 Paris, France",49.2,,
maison_paris_p3_18,maison,2 chambres maison de 21m²,paris,Ile-de-France,21.0,2,1450.0,"Paris, France",69.0,48.858705,2.342865
maison_paris_p3_19,maison,1 chambre maison de 38m²,paris,Ile-de-France,38.0,1,2217.0,"4 Villa Saint-Jacques, 75014 Paris, France",58.3,48.832878,2.335171
maison_paris_p3_20,maison,1 chambre maison de 27m²,paris,Ile-de-France,27.0,1,1345.0,"75002 Paris, France",49.8,48.867903,2.344107
maison_paris_p3_21,maison,2 chambres maison de 55m²,paris,Ile-de-France,55.0,2,1890.0,"Mairie du 16e arrondissement, Rue de la Pompe, 75116 Paris, France",34.4,48.863597,2.276352
maison_paris_p4_2,maison,9 chambres maison de 245m²,paris,Ile-de-France,245.0,9,12000.0,"75017 Paris, France",49.0,48.887337,2.307485
maison_paris_p4_3,maison,3 chambres maison de 80m²,paris,Ile-de-France,80.0,3,3800.0,"David Immobilier Monceau-Ternes, Boulevard de Courcelles, 75008 Paris, France",47.5,48.878596,2.301389
maison_paris_p4_4,maison,1 chambre maison de 18m²,paris,Ile-de-France,18.0,1,750.0,"11 Avenue Boudon, 75016 Paris, France",41.7,48.849446,2.269844
appartement_etudiant_paris_p1_1,appartement_etudiant,1 chambre appartement de 11m²,paris,Ile-de-France,11.0,1,412.0,"4 Square Auguste Renoir, 75014 Paris, France",37.5,48.827493,2.308753
appartement_etudiant_paris_p1_2,appartement_etudiant,1 chambre appartement de 31m²,paris,Ile-de-France,31.0,1,690.0,"92110 Clichy, France",22.3,48.903536,2.305752
appartement_etudiant_paris_p1_3,appartement_etudiant,1 chambre appartement de 16m²,paris,Ile-de-France,16.0,1,585.0,"25 Rue du Chemin Vert, 75011 Paris, France",36.6,48.858563,2.37287
appartement_etudiant_paris_p1_4,appartement_etudiant,3 chambres appartement de 78m²,paris,Ile-de-France,78.0,3,570.0,"10 Rue du Cloître Notre-Dame, 75004 Paris, France",7.3,48.853359,2.350169
appartement_etudiant_paris_p1_5,appartement_etudiant,1 chambre studio de 8m²,paris,Ile-de-France,8.0,1,477.0,"75013 Paris, France",59.6,48.828718,2.362468
appartement_etudiant_paris_p1_6,appartement_etudiant,1 chambre studio de 10m²,paris,Ile-de-France,10.0,1,100.0,"Paris, France",10.0,48.858705,2.342865
appartement_etudiant_paris_p1_7,appartement_etudiant,5 chambres appartement de 81m²,paris,Ile-de-France,81.0,5,665.0,"Route d'Arras, 62320 Bois-Bernard, France",8.2,50.383382,2.909465
appartement_etudiant_paris_p1_8,appartement_etudiant,1 chambre appartement de 18m²,paris,Ile-de-France,18.0,1,350.0,"62110 Hénin-Beaumont, France",19.4,50.409233,2.958997
appartement_etudiant_paris_p1_9,appartement_etudiant,1 chambre appartement de 12m²,paris,Ile-de-France,12.0,1,600.0,"16 Avenue de Wagram, 75008 Paris, France",50.0,48.876011,2.296946
appartement_etudiant_paris_p1_10,appartement_etudiant,1 chambre appartement de 10m²,paris,Ile-de-France,10.0,1,583.0,"75005 Paris, France",58.3,,
appartement_etudiant_paris_p1_11,appartement_etudiant,1 chambre appartement de 10m²,paris,Ile-de-France,10.0,1,500.0,"14 Boulevard d'Inkermann, 92200 Neuilly-sur-Seine, France",50.0,48.886707,2.27488
appartement_etudiant_paris_p1_12,appartement_etudiant,1 chambre appartement de 8m²,paris,Ile-de-France,8.0,1,484.0,"75019 Paris, France",60.5,48.886869,2.384694
appartement_etudiant_paris_p1_13,appartement_etudiant,1 chambre appartement de 27m²,paris,Ile-de-France,27.0,1,345.0,"Douai, Nord, France",12.8,50.373162,3.08258
appartement_etudiant_paris_p1_14,appartement_etudiant,5 chambres appartement de 1m²,paris,Ile-de-France,1.0,5,700.0,"62110 Hénin-Beaumont, France",700.0,50.409233,2.958997
appartement_etudiant_paris_p1_15,appartement_etudiant,5 chambres appartement de 90m²,paris,Ile-de-France,90.0,5,700.0,"62970 Courcelles-lès-Lens, France",7.8,,
appartement_etudiant_paris_p1_16,appartement_etudiant,1 chambre appartement de 15m²,paris,Ile-de-France,15.0,1,160.0,"29 Rue des Longues Raies, 75013 Paris, France",10.7,48.82118,2.347656
appartement_etudiant_paris_p1_17,appartement_etudiant,1 chambre studio de 8m²,paris,Ile-de-France,8.0,1,497.0,"75012 Paris, France",62.1,48.858705,2.342865
appartement_etudiant_paris_p1_18,appartement_etudiant,1 chambre appartement de 1m²,paris,Ile-de-France,1.0,1,320.0,"Lens, Pas-de-Calais, France",320.0,50.434865,2.829538
appartement_etudiant_paris_p1_19,appartement_etudiant,1 chambre appartement de 1m²,paris,Ile-de-France,1.0,1,350.0,"62110 Hénin-Beaumont, France",350.0,50.409233,2.958997
appartement_etudiant_paris_p1_20,appartement_etudiant,1 chambre appartement de 9m²,paris,Ile-de-France,9.0,1,490.0,"Commissariat de police de Paris, 62 Avenue Mozart, 75016 Paris, France",54.4,48.854334,2.26902
appartement_etudiant_paris_p1_21,appartement_etudiant,1 chambre appartement de 15m²,paris,Ile-de-France,15.0,1,140.0,"Expectra Search, Rue Vernet, 75008 Paris, France",9.3,48.871865,2.298059
appartement_etudiant_paris_p2_1,appartement_etudiant,3 chambres appartement de 54m²,paris,Ile-de-France,54.0,3,480.0,"62210 Avion, France",8.9,50.403901,2.826587
appartement_etudiant_paris_p2_2,appartement_etudiant,2 chambres appartement de 45m²,paris,Ile-de-France,45.0,2,470.0,"Lens, Pas-de-Calais, France",10.4,50.434865,2.829538
appartement_etudiant_paris_p2_3,appartement_etudiant,1 chambre appartement de 9m²,paris,Ile-de-France,9.0,1,600.0,"73 Boulevard Exelmans, 75016 Paris, France",66.7,48.84301,2.259836
appartement_etudiant_paris_p2_4,appartement_etudiant,1 chambre appartement de 25m²,paris,Ile-de-France,25.0,1,570.0,"Paris, France",22.8,48.858705,2.342865
appartement_etudiant_paris_p2_5,appartement_etudiant,1 chambre appartement de 18m²,paris,Ile-de-France,18.0,1,613.0,"14 Rue des Meuniers, 75012 Paris, France",34.1,48.833805,2.398427
appartement_etudiant_paris_p2_6,appartement_etudiant,1 chambre appartement de 9m²,paris,Ile-de-France,9.0,1,630.0,"75000 Paris, France",70.0,48.858705,2.342865
appartement_etudiant_paris_p2_7,appartement_etudiant,2 chambres appartement de 45m²,paris,Ile-de-France,45.0,2,400.0,"62110 Hénin-Beaumont, France",8.9,50.409233,2.958997
appartement_etudiant_paris_p2_8,appartement_etudiant,1 chambre appartement de 25m²,paris,Ile-de-France,25.0,1,650.0,"94170 Le Perreux-sur-Marne, France",26.0,48.842395,2.504068
appartement_etudiant_paris_p2_9,appartement_etudiant,3 chambres appartement de 52m²,paris,Ile-de-France,52.0,3,485.0,"Lens, Pas-de-Calais, France",9.3,50.434865,2.829538
appartement_etudiant_paris_p2_10,appartement_etudiant,3 chambres appartement de 60m²,paris,Ile-de-France,60.0,3,550.0,"62110 Hénin-Beaumont, France",9.2,50.409233,2.958997
appartement_etudiant_paris_p2_11,appartement_etudiant,1 chambre appartement de 25m²,paris,Ile-de-France,25.0,1,370.0,"62430 Sallaumines, France",14.8,50.420434,2.86
